./weather_save.py: line 1: import: command not found
./weather_save.py: line 2: from: command not found
./weather_save.py: line 3: import: command not found
./weather_save.py: line 4: import: command not found
./weather_save.py: line 5: from: command not found
./weather_save.py: line 6: import: command not found
./weather_save.py: line 7: import: command not found
./weather_save.py: line 8: from: command not found
./weather_save.py: line 10: syntax error near unexpected token `('
./weather_save.py: line 10: `if not os.path.exists('weather_data/'):'
UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0  2023 ?        00:05:17 /usr/lib/systemd/systemd --system --deserialize 20
root         2     0  0  2023 ?        00:00:04 [kthreadd]
root         4     2  0  2023 ?        00:00:00 [kworker/0:0H]
root         6     2  0  2023 ?        00:00:00 [ksoftirqd/0]
root         7     2  0  2023 ?        00:00:00 [migration/0]
root         8     2  0  2023 ?        00:00:00 [rcu_bh]
root         9     2  0  2023 ?        00:10:17 [rcu_sched]
root        10     2  0  2023 ?        00:00:00 [lru-add-drain]
root        11     2  0  2023 ?        00:00:12 [watchdog/0]
root        12     2  0  2023 ?        00:00:10 [watchdog/1]
root        13     2  0  2023 ?        00:00:00 [migration/1]
root        14     2  0  2023 ?        00:00:00 [ksoftirqd/1]
root        16     2  0  2023 ?        00:00:00 [kworker/1:0H]
root        17     2  0  2023 ?        00:00:10 [watchdog/2]
root        18     2  0  2023 ?        00:00:00 [migration/2]
root        19     2  0  2023 ?        00:00:00 [ksoftirqd/2]
root        21     2  0  2023 ?        00:00:00 [kworker/2:0H]
root        22     2  0  2023 ?        00:00:11 [watchdog/3]
root        23     2  0  2023 ?        00:00:00 [migration/3]
root        24     2  0  2023 ?        00:00:00 [ksoftirqd/3]
root        26     2  0  2023 ?        00:00:00 [kworker/3:0H]
root        27     2  0  2023 ?        00:00:11 [watchdog/4]
root        28     2  0  2023 ?        00:00:00 [migration/4]
root        29     2  0  2023 ?        00:00:00 [ksoftirqd/4]
root        31     2  0  2023 ?        00:00:00 [kworker/4:0H]
root        32     2  0  2023 ?        00:00:11 [watchdog/5]
root        33     2  0  2023 ?        00:00:00 [migration/5]
root        34     2  0  2023 ?        00:00:00 [ksoftirqd/5]
root        36     2  0  2023 ?        00:00:00 [kworker/5:0H]
root        37     2  0  2023 ?        00:00:12 [watchdog/6]
root        38     2  0  2023 ?        00:00:00 [migration/6]
root        39     2  0  2023 ?        00:00:00 [ksoftirqd/6]
root        41     2  0  2023 ?        00:00:00 [kworker/6:0H]
root        42     2  0  2023 ?        00:00:09 [watchdog/7]
root        43     2  0  2023 ?        00:00:00 [migration/7]
root        44     2  0  2023 ?        00:00:01 [ksoftirqd/7]
root        46     2  0  2023 ?        00:00:00 [kworker/7:0H]
root        47     2  0  2023 ?        00:00:09 [watchdog/8]
root        48     2  0  2023 ?        00:00:00 [migration/8]
root        49     2  0  2023 ?        00:00:47 [ksoftirqd/8]
root        51     2  0  2023 ?        00:00:00 [kworker/8:0H]
root        52     2  0  2023 ?        00:00:11 [watchdog/9]
root        53     2  0  2023 ?        00:00:00 [migration/9]
root        54     2  0  2023 ?        00:00:39 [ksoftirqd/9]
root        56     2  0  2023 ?        00:00:00 [kworker/9:0H]
root        57     2  0  2023 ?        00:00:10 [watchdog/10]
root        58     2  0  2023 ?        00:00:00 [migration/10]
root        59     2  0  2023 ?        00:00:06 [ksoftirqd/10]
root        61     2  0  2023 ?        00:00:00 [kworker/10:0H]
root        62     2  0  2023 ?        00:00:10 [watchdog/11]
root        63     2  0  2023 ?        00:00:00 [migration/11]
root        64     2  0  2023 ?        00:00:18 [ksoftirqd/11]
root        66     2  0  2023 ?        00:00:00 [kworker/11:0H]
root        67     2  0  2023 ?        00:00:10 [watchdog/12]
root        68     2  0  2023 ?        00:00:00 [migration/12]
root        69     2  0  2023 ?        00:00:17 [ksoftirqd/12]
root        71     2  0  2023 ?        00:00:00 [kworker/12:0H]
root        72     2  0  2023 ?        00:00:11 [watchdog/13]
root        73     2  0  2023 ?        00:00:00 [migration/13]
root        74     2  0  2023 ?        00:00:35 [ksoftirqd/13]
root        76     2  0  2023 ?        00:00:00 [kworker/13:0H]
root        77     2  0  2023 ?        00:00:10 [watchdog/14]
root        78     2  0  2023 ?        00:00:00 [migration/14]
root        79     2  0  2023 ?        00:00:31 [ksoftirqd/14]
root        81     2  0  2023 ?        00:00:00 [kworker/14:0H]
root        82     2  0  2023 ?        00:00:10 [watchdog/15]
root        83     2  0  2023 ?        00:00:00 [migration/15]
root        84     2  0  2023 ?        00:00:05 [ksoftirqd/15]
root        86     2  0  2023 ?        00:00:00 [kworker/15:0H]
root        88     2  0  2023 ?        00:00:00 [kdevtmpfs]
root        89     2  0  2023 ?        00:00:00 [netns]
root        90     2  0  2023 ?        00:00:03 [khungtaskd]
root        91     2  0  2023 ?        00:00:00 [writeback]
root        92     2  0  2023 ?        00:00:00 [kintegrityd]
root        93     2  0  2023 ?        00:00:00 [bioset]
root        94     2  0  2023 ?        00:00:00 [bioset]
root        95     2  0  2023 ?        00:00:00 [bioset]
root        96     2  0  2023 ?        00:00:00 [kblockd]
root        97     2  0  2023 ?        00:00:00 [md]
root        98     2  0  2023 ?        00:00:00 [edac-poller]
root        99     2  0  2023 ?        00:00:00 [watchdogd]
root       105     2  0  2023 ?        00:00:20 [kswapd0]
root       106     2  0  2023 ?        00:00:00 [ksmd]
root       107     2  0  2023 ?        00:00:17 [khugepaged]
root       108     2  0  2023 ?        00:00:00 [crypto]
root       116     2  0  2023 ?        00:00:00 [kthrotld]
root       118     2  0  2023 ?        00:00:00 [kmpath_rdacd]
root       119     2  0  2023 ?        00:00:00 [kaluad]
root       122     2  0  2023 ?        00:00:00 [kpsmoused]
root       124     2  0  2023 ?        00:00:00 [ipv6_addrconf]
root       138     2  0  2023 ?        00:00:00 [deferwq]
root       175     2  0  2023 ?        00:00:02 [kauditd]
root       360     2  0  2023 ?        00:00:00 [scsi_eh_0]
root       361     2  0  2023 ?        00:00:00 [scsi_tmf_0]
root       362     2  0  2023 ?        00:00:00 [vmw_pvscsi_wq_0]
root       393     2  0  2023 ?        00:00:00 [ata_sff]
