time,tavg
2021-10-01,20.9
2021-10-02,20.5
2021-10-03,21
2021-10-04,23.3
2021-10-05,21.8
2021-10-06,21.1
2021-10-07,20.7
2021-10-08,20.8
2021-10-09,22.7
2021-10-10,22.5
2021-10-11,15.1
2021-10-12,16.4
2021-10-13,18.7
2021-10-14,19.1
2021-10-15,17
2021-10-16,12.4
2021-10-17,5.6
2021-10-18,8.1
2021-10-19,9.7
2021-10-20,8.1
2021-10-21,8.4
2021-10-22,8.6
2021-10-23,9.4
2021-10-24,9.7
2021-10-25,10.1
2021-10-26,10.2
2021-10-27,11.6
2021-10-28,10.7
2021-10-29,12.1
2021-10-30,11.3
2021-10-31,11.5
2021-11-01,12.2
2021-11-02,9.2
2021-11-03,9
2021-11-04,10.3
2021-11-05,10.6
2021-11-06,12.7
2021-11-07,14.4
2021-11-08,10.6
2021-11-09,6.5
2021-11-10,5.7
2021-11-11,6.1
2021-11-12,4.4
2021-11-13,6.1
2021-11-14,6.9
2021-11-15,7.1
2021-11-16,7.5
2021-11-17,6.3
2021-11-18,7.4
2021-11-19,8.2
2021-11-20,7.7
2021-11-21,9.3
2021-11-22,5.1
2021-11-23,1.8
2021-11-24,4.7
2021-11-25,5.6
2021-11-26,3.5
2021-11-27,3.3
2021-11-28,3.8
2021-11-29,4.9
2021-11-30,6
2021-12-01,0.2
2021-12-02,1.3
2021-12-03,3.4
2021-12-04,1.2
2021-12-05,2.3
2021-12-06,5.6
2021-12-07,4.8
2021-12-08,4.1
2021-12-09,4.2
2021-12-10,6.7
2021-12-11,5.6
2021-12-12,4
2021-12-13,-2.1
2021-12-14,-0.2
2021-12-15,4.6
2021-12-16,4.5
2021-12-17,-1.5
2021-12-18,-4.2
2021-12-19,0
2021-12-20,2.3
2021-12-21,3.6
2021-12-22,2.1
2021-12-23,1.6
2021-12-24,1.3
2021-12-25,-6.2
2021-12-26,-8.1
2021-12-27,-3.9
2021-12-28,1.7
2021-12-29,2.6
2021-12-30,-0.3
2021-12-31,-4.4
2022-01-01,-3.8
2022-01-02,-2.7
2022-01-03,-2.6
2022-01-04,-0.6
2022-01-05,0.1
2022-01-06,-0.1
2022-01-07,-2.5
2022-01-08,-1.6
2022-01-09,0.9
2022-01-10,0.4
2022-01-11,-2.9
2022-01-12,-4.8
2022-01-13,-4.7
2022-01-14,-4.1
2022-01-15,0
2022-01-16,-0.2
2022-01-17,-2.5
2022-01-18,-4.2
2022-01-19,-3.2
2022-01-20,-3.5
2022-01-21,-2
2022-01-22,3.4
2022-01-23,4.7
2022-01-24,4.3
2022-01-25,4.3
2022-01-26,1.4
2022-01-27,0.6
2022-01-28,-1
2022-01-29,-1.1
2022-01-30,-1.9
2022-01-31,-2.1
2022-02-01,-0.5
2022-02-02,-0.8
2022-02-03,-1.8
2022-02-04,-3.1
2022-02-05,-4
2022-02-06,-4.2
2022-02-07,-2.3
2022-02-08,-0.9
2022-02-09,0.4
2022-02-10,1.8
2022-02-11,1.5
2022-02-12,4
2022-02-13,5.1
2022-02-14,3.8
2022-02-15,-2.5
2022-02-16,-5
2022-02-17,-5.8
2022-02-18,-1.6
2022-02-19,0.6
2022-02-20,-3.9
2022-02-21,-1.5
2022-02-22,-1.6
2022-02-23,-3.9
2022-02-24,-3.2
2022-02-25,0
