timestamp,year,month,day,radn,maxt,mint,rain,evap,tavg,humid,wind,sumradn,datetime,month_day,past_year,cumrain
1987-10-01,1987,10,274,14.332,27.8,8.2,0.0,3.9,16.8,77.0,0.9,9.6,19871001,1001,1987,0.0
1987-10-02,1987,10,275,9.149,25.1,9.8,0.0,2.5,16.3,81.8,0.8,4.1,19871002,1002,1987,0.0
1987-10-03,1987,10,276,14.894,29.1,11.0,0.0,4.6,18.4,74.3,1.0,10.4,19871003,1003,1987,0.0
1987-10-04,1987,10,277,14.618,28.4,6.6,0.0,3.8,16.5,72.8,0.8,10.2,19871004,1004,1987,0.0
1987-10-05,1987,10,278,8.687,23.7,7.7,0.0,2.0,16.1,83.0,0.6,3.8,19871005,1005,1987,0.0
1987-10-06,1987,10,279,12.62,28.5,10.5,0.0,3.5,18.9,82.3,0.7,8.2,19871006,1006,1987,0.0
1987-10-07,1987,10,280,8.473,26.0,10.6,0.0,2.4,19.1,90.5,1.0,3.7,19871007,1007,1987,0.0
1987-10-08,1987,10,281,13.982,27.9,7.0,0.0,4.0,16.0,80.8,0.7,9.9,19871008,1008,1987,0.0
1987-10-09,1987,10,282,13.623,28.2,9.0,0.0,4.2,17.3,81.8,0.7,9.6,19871009,1009,1987,0.0
1987-10-10,1987,10,283,12.29,28.0,9.4,0.0,3.5,17.6,79.0,0.8,8.2,19871010,1010,1987,0.0
1987-10-11,1987,10,284,13.356,29.4,10.1,0.0,3.6,18.3,78.8,0.9,9.5,19871011,1011,1987,0.0
1987-10-12,1987,10,285,12.916,29.3,11.2,0.0,5.2,18.9,77.8,1.4,9.1,19871012,1012,1987,0.0
1987-10-13,1987,10,286,10.293,23.4,13.3,0.0,3.5,17.3,79.5,2.0,6.2,19871013,1013,1987,0.0
1987-10-14,1987,10,287,4.916,23.8,13.5,0.0,2.8,18.1,86.8,1.3,0.1,19871014,1014,1987,0.0
1987-10-15,1987,10,288,4.787,20.9,18.1,0.0,4.0,18.9,91.0,3.5,0.0,19871015,1015,1987,0.0
1987-10-16,1987,10,289,9.817,24.9,15.6,0.0,4.0,19.6,84.8,2.7,5.9,19871016,1016,1987,0.0
