지점명,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
남원,-2.9,3.3,11.1,2003-01-17,-8.5,-19.3,2003-01-06
남원,2.1,8.8,14.3,2003-02-26,-3.3,-10.3,2003-02-02
남원,6,12.9,22.2,2003-03-30,-0.2,-5,2003-03-04
남원,13.2,20,27.1,2003-04-17,6.9,-1.2,2003-04-06
남원,18.8,25.6,29.7,2003-05-28,12.7,3,2003-05-01
남원,21.7,27.2,31.2,2003-06-08,16.9,10.1,2003-06-05
남원,23.2,27.5,32.7,2003-07-30,20,15.8,2003-07-02
남원,24.2,29,34.4,2003-08-22,20.5,16.2,2003-08-14
남원,21.9,28.1,33.2,2003-09-04,17.2,8.6,2003-09-23
남원,12.2,21,28.2,2003-10-10,5.4,-1,2003-10-27
남원,9.2,16.2,24.3,2003-11-02,3.6,-6.4,2003-11-23
남원,0.8,7.3,15,2003-12-05,-4.3,-13.5,2003-12-20
남원,-2.1,5,12.3,2004-01-31,-7.9,-15.3,2004-01-22
남원,1.8,9.5,20.3,2004-02-20,-5.2,-12.8,2004-02-08
남원,5.9,13.7,22.1,2004-03-29,-1.6,-10.3,2004-03-07
남원,11.8,20.7,28.8,2004-04-21,3,-3.2,2004-04-05
남원,17.1,23.1,30.2,2004-05-29,11.2,3.2,2004-05-05
남원,22,28,32.4,2004-06-05,16.6,8.8,2004-06-01
남원,25.4,30.4,35.2,2004-07-23,21.6,18,2004-07-09
남원,25,30.8,35,2004-08-10,20.7,16.1,2004-08-31
남원,20.4,26.4,30.3,2004-09-04,15.8,9.8,2004-09-22
남원,12.8,21.8,26.1,2004-10-08,5.3,-1.7,2004-10-27
남원,7,15.4,23.7,2004-11-09,0.9,-3.9,2004-11-30
남원,2,9.3,18.6,2004-12-03,-4.1,-8.8,2004-12-30
남원,-2.3,3.6,11.3,2005-01-28,-7.8,-13.3,2005-01-05
남원,-1.1,4.7,11.5,2005-02-17,-6.2,-11.8,2005-02-13
남원,3.8,11.4,22,2005-03-10,-3.2,-10.3,2005-03-04
남원,12.8,21.6,30.5,2005-04-29,4.1,-2.5,2005-04-16
남원,17.7,25.6,31.1,2005-05-29,9.8,3.2,2005-05-10
남원,23.4,29.6,34,2005-06-25,18,12.3,2005-06-01
남원,25.8,31,37,2005-07-23,21.8,19.3,2005-07-08
남원,25.2,30.2,34.5,2005-08-05,21.6,16.7,2005-08-28
남원,22.6,28.2,32.5,2005-09-12,18.2,10.8,2005-09-29
남원,13.1,21.4,27.7,2005-10-01,6.5,-2,2005-10-23
남원,6.4,15.2,24.6,2005-11-04,-0.5,-8.3,2005-11-20
남원,-3.1,3.2,14.8,2005-12-01,-9,-19.3,2005-12-18
남원,0.7,7,13.6,2006-01-29,-4.4,-10.6,2006-01-07
남원,1.1,7.3,16,2006-02-24,-4.6,-15.1,2006-02-09
남원,5.9,13.7,20.8,2006-03-22,-1.4,-9.1,2006-03-13
남원,11.2,18.1,27.8,2006-04-30,4.4,-1.2,2006-04-03
남원,18.4,24.8,30.8,2006-05-31,12.5,5.9,2006-05-03
남원,22.8,28.8,33.7,2006-06-28,17.4,12.6,2006-06-12
남원,24.2,28.1,33.2,2006-07-31,21.3,18.2,2006-07-23
남원,26.5,32.5,35.9,2006-08-08,22.5,20.3,2006-08-30
남원,18.8,25.7,30.3,2006-09-02,13.4,8.6,2006-09-25
남원,15.5,25,28.6,2006-10-15,8.5,2.2,2006-10-31
남원,8.2,15.5,23.3,2006-11-09,1.8,-4,2006-11-30
남원,0.8,8,15.6,2006-12-26,-4.4,-12.1,2006-12-30
남원,0,6.6,12.3,2007-01-04,-5.1,-9.6,2007-01-14
남원,3.7,11.9,19.1,2007-02-07,-2.7,-9.3,2007-02-02
남원,7.1,14.3,22.1,2007-03-28,0.8,-5.5,2007-03-11
남원,11.1,19.2,26.1,2007-04-29,3.2,-2.7,2007-04-05
남원,17.7,24.9,29.2,2007-05-22,10.8,6,2007-05-03
남원,22.8,28.2,33.2,2007-06-19,17.7,12.6,2007-06-10
남원,24.9,29.8,33.7,2007-07-26,21.2,18.7,2007-07-15
남원,26.6,31.4,35,2007-08-25,23.2,19.8,2007-08-31
남원,21.4,26.2,30.7,2007-09-19,17.9,12.6,2007-09-29
남원,13.9,21.5,27.6,2007-10-05,8.1,0.2,2007-10-21
남원,5.3,13.9,20.7,2007-11-09,-1.3,-7.5,2007-11-19
남원,1.5,7.6,15.5,2007-12-26,-3.4,-6.9,2007-12-06
남원,-0.5,4.8,11.7,2008-01-09,-4.6,-11.1,2008-01-17
남원,-1.3,5.9,14,2008-02-22,-7.7,-12.9,2008-02-13
남원,6.6,14.6,21.3,2008-03-21,-0.9,-7.6,2008-03-08
남원,12.7,20.5,27.9,2008-04-19,4.9,-1.9,2008-04-04
남원,17.4,25,32,2008-05-03,9.8,2,2008-05-06
남원,21.3,26.4,32.2,2008-06-13,16.7,10.2,2008-06-01
남원,26.4,31.5,34.9,2008-07-08,22.6,20,2008-07-01
남원,24.6,30.4,33.7,2008-08-10,20.1,14.7,2008-08-27
남원,21.7,28.8,33.9,2008-09-18,16,4.8,2008-09-27
남원,15,24,29.8,2008-10-18,8.1,2.6,2008-10-13
남원,6.9,14.9,22.9,2008-11-06,0.6,-8.2,2008-11-20
남원,1.2,8.4,17.3,2008-12-10,-4.6,-10.6,2008-12-07
남원,-1.6,5.6,14.4,2009-01-31,-7.7,-15.3,2009-01-15
남원,4.1,11.3,19.2,2009-02-13,-2.3,-7.9,2009-02-17
남원,7.1,14.6,25.8,2009-03-19,-0.1,-7.1,2009-03-15
남원,12.3,21.1,28.4,2009-04-18,3.9,-3.4,2009-04-02
남원,18.1,26.4,31,2009-05-10,10,4,2009-05-01
남원,22.3,28.4,33.4,2009-06-26,16.6,9.6,2009-06-01
남원,24.3,28.8,32.3,2009-07-20,20.7,17.5,2009-07-07
남원,24.9,30.1,33.6,2009-08-15,20.3,14.8,2009-08-29
남원,20.5,27.5,32,2009-09-06,14.9,10.2,2009-09-19
남원,13.2,22.2,27.2,2009-10-01,6.1,1.6,2009-10-21
남원,5.8,12.6,24.1,2009-11-09,0.3,-8.3,2009-11-22
남원,-1.2,4.7,11.5,2009-12-11,-6.3,-18.4,2009-12-31
남원,-3.4,3.1,12.4,2010-01-20,-9.2,-18.3,2010-01-01
남원,1,6.7,17.7,2010-02-24,-4,-12.2,2010-02-07
남원,4.6,9.9,20.8,2010-03-20,-0.8,-6.8,2010-03-19
남원,8.3,15.1,23.9,2010-04-20,1.6,-4.1,2010-04-04
남원,16,23,30.4,2010-05-21,9.1,-0.9,2010-05-01
남원,21.9,28.4,32.2,2010-06-17,16.3,10.1,2010-06-02
남원,24.3,29.1,31.8,2010-07-22,21.1,17.2,2010-07-08
남원,26.6,31.6,34.7,2010-08-21,23.3,20.5,2010-08-09
남원,21.8,28,33.2,2010-09-04,17.1,6.5,2010-09-30
남원,13.5,21,25.6,2010-10-10,7.4,-3.2,2010-10-27
남원,5.1,13.7,19.3,2010-11-06,-2.1,-6.6,2010-11-27
남원,-0.4,6.3,15.4,2010-12-01,-5.9,-14.3,2010-12-31
남원,-6.3,0.1,3.6,2011-01-08,-12.6,-17,2011-01-01
