tavg,tmax,tmin
-2.9,3.3,-8.5
2.1,8.8,-3.3
6.0,12.9,-0.2
13.2,20.0,6.9
18.8,25.6,12.7
21.7,27.2,16.9
23.2,27.5,20.0
24.2,29.0,20.5
21.9,28.1,17.2
12.2,21.0,5.4
9.2,16.2,3.6
0.8,7.3,-4.3
-2.1,5.0,-7.9
1.8,9.5,-5.2
5.9,13.7,-1.6
11.8,20.7,3.0
17.1,23.1,11.2
22.0,28.0,16.6
25.4,30.4,21.6
25.0,30.8,20.7
20.4,26.4,15.8
12.8,21.8,5.3
7.0,15.4,0.9
2.0,9.3,-4.1
-2.3,3.6,-7.8
-1.1,4.7,-6.2
3.8,11.4,-3.2
12.8,21.6,4.1
17.7,25.6,9.8
23.4,29.6,18.0
25.8,31.0,21.8
25.2,30.2,21.6
22.6,28.2,18.2
13.1,21.4,6.5
6.4,15.2,-0.5
-3.1,3.2,-9.0
0.7,7.0,-4.4
1.1,7.3,-4.6
5.9,13.7,-1.4
11.2,18.1,4.4
18.4,24.8,12.5
22.8,28.8,17.4
24.2,28.1,21.3
26.5,32.5,22.5
18.8,25.7,13.4
15.5,25.0,8.5
8.2,15.5,1.8
0.8,8.0,-4.4
0.0,6.6,-5.1
3.7,11.9,-2.7
7.1,14.3,0.8
11.1,19.2,3.2
17.7,24.9,10.8
22.8,28.2,17.7
24.9,29.8,21.2
26.6,31.4,23.2
21.4,26.2,17.9
13.9,21.5,8.1
5.3,13.9,-1.3
1.5,7.6,-3.4
-0.5,4.8,-4.6
-1.3,5.9,-7.7
6.6,14.6,-0.9
12.7,20.5,4.9
17.4,25.0,9.8
21.3,26.4,16.7
26.4,31.5,22.6
24.6,30.4,20.1
21.7,28.8,16.0
15.0,24.0,8.1
6.9,14.9,0.6
1.2,8.4,-4.6
-1.6,5.6,-7.7
4.1,11.3,-2.3
7.1,14.6,-0.1
12.3,21.1,3.9
18.1,26.4,10.0
22.3,28.4,16.6
24.3,28.8,20.7
24.9,30.1,20.3
20.5,27.5,14.9
13.2,22.2,6.1
5.8,12.6,0.3
-1.2,4.7,-6.3
-3.4,3.1,-9.2
1.0,6.7,-4.0
4.6,9.9,-0.8
8.3,15.1,1.6
16.0,23.0,9.1
21.9,28.4,16.3
24.3,29.1,21.1
26.6,31.6,23.3
21.8,28.0,17.1
13.5,21.0,7.4
5.1,13.7,-2.1
-0.4,6.3,-5.9
-6.3,0.1,-12.6
0.7,8.5,-5.5
3.4,10.9,-3.5
10.7,18.6,2.6
17.7,24.1,11.3
22.9,28.9,17.5
25.6,30.2,22.2
25.1,29.8,21.7
21.0,27.6,15.8
12.6,21.1,5.6
10.4,16.7,5.4
0.0,5.6,-5.0
-1.9,4.0,-7.3
-1.6,4.9,-7.3
5.1,11.1,-0.7
12.0,19.4,4.4
18.8,26.2,12.0
22.5,28.4,17.7
26.0,30.7,22.1
26.4,31.4,22.5
19.7,26.0,14.9
12.7,21.8,5.2
5.6,12.1,0.0
-2.3,3.2,-7.4
-3.1,3.4,-8.9
0.2,6.2,-5.4
6.1,15.2,-1.8
9.6,17.0,1.8
17.7,25.4,10.4
23.6,29.1,18.9
26.3,31.0,22.6
27.0,32.2,22.9
20.8,26.6,16.2
15.1,21.7,9.8
6.5,12.4,1.7
1.0,6.3,-3.4
-0.2,6.7,-5.9
3.1,8.9,-2.0
7.1,13.7,1.0
13.0,20.3,6.6
18.0,25.4,11.0
22.1,27.0,17.7
24.5,29.0,20.6
23.5,27.4,20.8
20.5,26.6,15.8
14.3,21.3,8.4
8.0,14.3,2.9
-1.2,3.9,-5.4
-0.5,4.6,-5.0
1.0,6.3,-3.6
5.9,13.3,-1.0
12.4,19.2,6.5
17.9,25.1,10.9
21.1,26.5,16.5
24.3,28.7,20.5
24.4,29.8,20.0
